# wavelength flux error
3.29221e+03 7.09525e-17 2.33129e-17
3.29241e+03 6.40386e-17 2.78689e-17
3.29261e+03 -5.45470e-17 2.71936e-17
3.29281e+03 1.47966e-17 2.53493e-17
3.29301e+03 -1.37235e-16 2.79346e-17
3.29321e+03 4.69671e-17 3.09597e-17
3.29341e+03 3.58336e-17 2.21804e-17
3.29361e+03 1.57104e-16 2.25648e-17
3.29381e+03 3.12537e-17 2.40481e-17
3.29401e+03 5.25070e-17 2.57000e-17
3.29421e+03 -7.85244e-17 2.78216e-17
3.29441e+03 -8.97030e-17 2.95786e-17
3.29461e+03 -1.97066e-17 2.87003e-17
3.29481e+03 8.09190e-17 2.88016e-17
3.29501e+03 -1.70613e-17 2.58561e-17
3.29521e+03 5.09074e-17 2.52137e-17
3.29541e+03 -1.65654e-17 2.79735e-17
3.29561e+03 3.56110e-17 2.41486e-17
3.29581e+03 7.65029e-17 2.22723e-17
3.29601e+03 1.77997e-16 3.06020e-17
3.29621e+03 -3.81285e-18 2.87792e-17
3.29641e+03 -4.65375e-17 2.48776e-17
3.29661e+03 -1.49985e-17 2.32585e-17
3.29681e+03 4.77255e-17 3.06744e-17
3.29701e+03 6.47298e-17 3.39620e-17
3.29721e+03 -6.97608e-18 2.17954e-17
3.29741e+03 6.44332e-17 3.12867e-17
3.29761e+03 6.43493e-17 2.76189e-17
3.29781e+03 -8.81769e-17 3.21755e-17
3.29801e+03 3.95286e-17 2.58740e-17
3.29821e+03 1.55272e-16 2.52419e-17
3.29841e+03 -8.49444e-17 2.57443e-17
3.29861e+03 4.56876e-17 2.66340e-17
3.29881e+03 1.20449e-17 3.07240e-17
3.29901e+03 4.68712e-17 2.94523e-17
3.29921e+03 1.06233e-17 2.21016e-17
3.29941e+03 7.10216e-17 2.03980e-17
3.29961e+03 -3.71956e-17 2.30688e-17
3.29981e+03 -8.37322e-17 3.49712e-17
3.30001e+03 5.15020e-17 2.92263e-17
3.30021e+03 3.66615e-17 2.71535e-17
3.30041e+03 1.50997e-18 2.96162e-17
3.30061e+03 1.51254e-17 2.56624e-17
3.30081e+03 -9.47777e-17 3.03249e-17
3.30101e+03 2.60292e-17 2.36031e-17
3.30121e+03 -3.28787e-17 2.78661e-17
3.30141e+03 8.76371e-18 2.91791e-17
3.30161e+03 -3.19708e-17 2.91865e-17
3.30181e+03 2.55388e-17 2.42890e-17
3.30201e+03 -9.87470e-17 2.33926e-17
3.30221e+03 1.03683e-17 1.84913e-17
3.30241e+03 1.09228e-16 1.72839e-17
3.30261e+03 -7.43036e-17 2.42307e-17
3.30281e+03 4.19046e-17 2.62143e-17
3.30301e+03 2.16373e-17 2.75394e-17
3.30321e+03 3.27618e-17 3.33728e-17
3.30341e+03 2.43789e-17 2.99199e-17
3.30361e+03 -1.10272e-17 2.55072e-17
3.30381e+03 3.85790e-17 2.49897e-17
3.30401e+03 -3.06297e-18 2.79385e-17
3.30421e+03 3.32636e-17 2.75116e-17
3.30441e+03 -7.34436e-18 3.05522e-17
3.30461e+03 8.67497e-17 2.28251e-17
3.30481e+03 4.09624e-17 2.35052e-17
3.30501e+03 -7.25744e-17 2.35480e-17
3.30521e+03 3.13062e-17 2.54856e-17
3.30541e+03 -3.37342e-18 2.46603e-17
3.30561e+03 -3.47065e-17 2.24928e-17
3.30581e+03 -1.02101e-16 2.60496e-17
3.30601e+03 5.46448e-17 3.09781e-17
3.30621e+03 -9.14430e-17 2.44113e-17
3.30641e+03 -2.23602e-17 3.48230e-17
3.30661e+03 -9.92433e-18 2.88497e-17
3.30681e+03 1.05344e-17 2.33021e-17
3.30701e+03 -1.15022e-17 3.17542e-17
3.30721e+03 -5.23107e-17 2.94691e-17
3.30741e+03 1.38484e-17 2.40059e-17
3.30761e+03 -1.91994e-17 3.12424e-17
3.30781e+03 2.88652e-17 2.56031e-17
3.30801e+03 6.83735e-17 2.47565e-17
3.30821e+03 1.20369e-16 2.61287e-17
3.30841e+03 -2.56565e-18 2.09569e-17
3.30861e+03 -1.54903e-17 2.63715e-17
3.30881e+03 4.99485e-17 2.35442e-17
3.30901e+03 3.92417e-17 2.27478e-17
3.30921e+03 1.31775e-16 2.67073e-17
3.30941e+03 1.57923e-16 2.86369e-17
3.30961e+03 -1.51326e-17 3.01837e-17
3.30981e+03 -6.11121e-17 2.03702e-17
3.31001e+03 5.29150e-17 3.30605e-17
3.31021e+03 6.81765e-17 3.04006e-17
3.31041e+03 -2.28566e-18 2.79277e-17
3.31061e+03 -5.07859e-17 3.01213e-17
3.31081e+03 6.84374e-17 2.70528e-17
3.31101e+03 -6.59256e-17 2.53909e-17
3.31121e+03 8.02241e-18 2.68162e-17
3.31141e+03 2.70944e-17 2.48781e-17
3.31161e+03 2.64560e-17 2.94073e-17
3.31181e+03 -2.34726e-17 2.15029e-17
3.31201e+03 -3.56959e-17 2.04832e-17
3.31221e+03 -8.32026e-18 2.44117e-17
3.31241e+03 2.43191e-17 2.43113e-17
3.31261e+03 -5.39507e-17 2.34556e-17
3.31281e+03 2.29588e-17 2.01171e-17
3.31301e+03 -6.42094e-17 1.99915e-17
3.31321e+03 -4.51438e-17 2.68380e-17
3.31341e+03 8.84043e-17 2.58088e-17
3.31361e+03 4.76806e-18 2.62015e-17
3.31381e+03 1.36272e-16 2.83299e-17
3.31401e+03 3.39011e-17 2.39191e-17
3.31421e+03 1.05686e-16 2.55245e-17
3.31441e+03 1.10149e-16 2.41033e-17
3.31461e+03 1.05697e-17 2.40801e-17
3.31481e+03 -1.15762e-17 2.20167e-17
3.31501e+03 3.32823e-17 3.35146e-17
